head_entity,head_entity_label,relation,tail_entity,tail_entity_label,context
嚴公,PER,上下级,玉汝,PER,明日，召问其故，曰：「玉汝为严公之使，今严公之地分裂，而不能救止，无面目还报，将死此荒寒之野，是以哭耳。
在明,PER,管理,幽州,LOC,案通鑑：在明先为成德军留后，继授幽州道马步都部署。
在明,PER,管理,成德軍,LOC,案通鑑：在明先为成德军留后，继授幽州道马步都部署。
在明,PER,任职,留後,OFI,案通鑑：在明先为成德军留后，继授幽州道马步都部署。
在明,PER,任职,馬步都部署,OFI,案通鑑：在明先为成德军留后，继授幽州道马步都部署。
李克用,PER,敌对攻伐,洹水,LOC,案旧唐书：六月庚戌，李克用率沙陀并、汾之众五万攻魏州，及其郛，大掠于其六郡，陷成安、洹水，临漳十馀邑，报莘之怒也。
李克用,PER,敌对攻伐,成安,LOC,案旧唐书：六月庚戌，李克用率沙陀并、汾之众五万攻魏州，及其郛，大掠于其六郡，陷成安、洹水，临漳十馀邑，报莘之怒也。
李克用,PER,敌对攻伐,魏州,LOC,案旧唐书：六月庚戌，李克用率沙陀并、汾之众五万攻魏州，及其郛，大掠于其六郡，陷成安、洹水，临漳十馀邑，报莘之怒也。
李克用,PER,敌对攻伐,臨漳,LOC,案旧唐书：六月庚戌，李克用率沙陀并、汾之众五万攻魏州，及其郛，大掠于其六郡，陷成安、洹水，临漳十馀邑，报莘之怒也。
定宗,PER,上下级,玉汝,PER,分封之家，以严氏緫握其事，颇不自便，定宗即位，皆聚阙下，复欲剖分东平地。是时，众心危疑，将俛首听命，玉汝力排群言，事遂已。
李敬玄,PER,任职,鎮撫大使,OFI,吐蕃与西突厥连兵攻安西，复命中书令李敬玄为洮河道行军大总管、西河镇抚大使、鄯州都督，代仁轨。下诏募猛士，毋限籍役痕负，帝自临遣。
李敬玄,PER,任职,都督,OFI,吐蕃与西突厥连兵攻安西，复命中书令李敬玄为洮河道行军大总管、西河镇抚大使、鄯州都督，代仁轨。下诏募猛士，毋限籍役痕负，帝自临遣。
李敬玄,PER,任职,行軍大總管,OFI,吐蕃与西突厥连兵攻安西，复命中书令李敬玄为洮河道行军大总管、西河镇抚大使、鄯州都督，代仁轨。下诏募猛士，毋限籍役痕负，帝自临遣。
李敬玄,PER,任职,中書令,OFI,吐蕃与西突厥连兵攻安西，复命中书令李敬玄为洮河道行军大总管、西河镇抚大使、鄯州都督，代仁轨。下诏募猛士，毋限籍役痕负，帝自临遣。
李敬玄,PER,政治奥援,仁軌,PER,吐蕃与西突厥连兵攻安西，复命中书令李敬玄为洮河道行军大总管、西河镇抚大使、鄯州都督，代仁轨。下诏募猛士，毋限籍役痕负，帝自临遣。
李敬玄,PER,管理,西河,LOC,吐蕃与西突厥连兵攻安西，复命中书令李敬玄为洮河道行军大总管、西河镇抚大使、鄯州都督，代仁轨。下诏募猛士，毋限籍役痕负，帝自临遣。
李敬玄,PER,管理,洮河道,LOC,吐蕃与西突厥连兵攻安西，复命中书令李敬玄为洮河道行军大总管、西河镇抚大使、鄯州都督，代仁轨。下诏募猛士，毋限籍役痕负，帝自临遣。
李敬玄,PER,管理,鄯州,LOC,吐蕃与西突厥连兵攻安西，复命中书令李敬玄为洮河道行军大总管、西河镇抚大使、鄯州都督，代仁轨。下诏募猛士，毋限籍役痕负，帝自临遣。
帝,PER,上下级,李敬玄,PER,吐蕃与西突厥连兵攻安西，复命中书令李敬玄为洮河道行军大总管、西河镇抚大使、鄯州都督，代仁轨。下诏募猛士，毋限籍役痕负，帝自临遣。
鄧朏,PER,驻守,涪水,LOC,梓潼郡民邓朏、王令公等招诱乡邑万馀人，复在州东十里，涪水北，置栅以应之。
王令公,PER,驻守,涪水,LOC,梓潼郡民邓朏、王令公等招诱乡邑万馀人，复在州东十里，涪水北，置栅以应之。
鄧朏,PER,政治奥援,王令公,PER,梓潼郡民邓朏、王令公等招诱乡邑万馀人，复在州东十里，涪水北，置栅以应之。
鄧朏,PER,出生于某地,梓潼郡,LOC,梓潼郡民邓朏、王令公等招诱乡邑万馀人，复在州东十里，涪水北，置栅以应之。
王令公,PER,出生于某地,梓潼郡,LOC,梓潼郡民邓朏、王令公等招诱乡邑万馀人，复在州东十里，涪水北，置栅以应之。
章宗,PER,敌对攻伐,吳曦,PER,泰和四年，调鄜州录事。明年，伐蜀，行部檄充军前检察，帅府以书檄委之。章宗欲招降吴曦，诏先以文告晓之，然后用兵。蜀人守散关不下，金兵杀获甚众，璧言：「彼军拒守而并祸其民，无乃与诏旨相戾乎？」
德威,PER,敌对攻伐,氏叔琮,PER,戊午，氏叔琮率军来战，德威逆击，为汴人所败，兵仗、辎车委弃殆尽。朱友寕长驱至汾州，慈、隰二州复为汴人所据。
朱友寕,PER,到达,汾州,LOC,戊午，氏叔琮率军来战，德威逆击，为汴人所败，兵仗、辎车委弃殆尽。朱友寕长驱至汾州，慈、隰二州复为汴人所据。
德威,PER,敌对攻伐,汴,LOC,戊午，氏叔琮率军来战，德威逆击，为汴人所败，兵仗、辎车委弃殆尽。朱友寕长驱至汾州，慈、隰二州复为汴人所据。
韶,PER,敌对攻伐,白額,PER,六月，韶遣辩士喻白额祸福，白额于是开门请盟。韶与行台辛术等议，且为受盟。
白額,PER,政治奥援,韶,PER,六月，韶遣辩士喻白额祸福，白额于是开门请盟。韶与行台辛术等议，且为受盟。
辛術,PER,任职,行臺,OFI,六月，韶遣辩士喻白额祸福，白额于是开门请盟。韶与行台辛术等议，且为受盟。
韶,PER,政治奥援,辛術,PER,六月，韶遣辩士喻白额祸福，白额于是开门请盟。韶与行台辛术等议，且为受盟。
撻懶,PER,敌对攻伐,馬哥,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
蒲家奴,PER,敌对攻伐,馬哥,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
蒲家奴,PER,敌对攻伐,遼,LOC,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
撻懶,PER,敌对攻伐,遼,LOC,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
杲,PER,敌对攻伐,馬哥,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
遼帝,PER,敌对攻伐,蒲家奴,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
遼帝,PER,敌对攻伐,杲,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
遼帝,PER,敌对攻伐,撻懶,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
蒲家奴,PER,敌对攻伐,居延,LOC,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
馬哥,PER,任职,都統,OFI,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
杲,PER,任职,都統,OFI,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
杲,PER,上下级,蒲家奴,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
杲,PER,政治奥援,撻懶,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
賽里,PER,同僚,斜野,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
蒲家奴,PER,同僚,斜野,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
蒲家奴,PER,同僚,賽里,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
蒲家奴,PER,政治奥援,撻懶,PER,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
賽里,PER,敌对攻伐,居延,LOC,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
斜野,PER,敌对攻伐,居延,LOC,辽帝西走，都统杲使蒲家奴以兵一千助挞懒击辽都统马哥，与挞懒不相及，蒲家奴与赛里、斜野降其西北居延之众。
雷五安,PER,任职,帳下督,OFI,有帐下督雷五安于战处哭求思政，会已苏，遂相得。乃割衣裹创，扶思政上马，夜久方得还军。仍镇弘农，除侍中、东道行台。
思政,PER,上下级,雷五安,PER,有帐下督雷五安于战处哭求思政，会已苏，遂相得。乃割衣裹创，扶思政上马，夜久方得还军。仍镇弘农，除侍中、东道行台。
思政,PER,驻守,弘農,LOC,有帐下督雷五安于战处哭求思政，会已苏，遂相得。乃割衣裹创，扶思政上马，夜久方得还军。仍镇弘农，除侍中、东道行台。
